Nombre	Precio	Categoria	Stock
Arroz 1kg	28.50	Granos,Básicos	120
Frijol Negro 1kg	34.00	Granos,Básicos	95
Azúcar 1kg	25.00	Endulzantes,Básicos	110
Sal 1kg	12.50	Condimentos,Básicos	150
Aceite Vegetal 1L	42.90	Aceites,Cocina	80
Leche Entera 1L	23.50	Lácteos,Bebidas	60
Huevos Docena	48.00	Lácteos,Proteínas	75
Pan Blanco	36.00	Panadería,Básicos	40
Cereal Maíz	52.30	Cereales,Desayuno	35
Atún en Lata	18.90	Enlatados,Proteínas	130
Sardinas en Lata	16.50	Enlatados,Proteínas	90
Pasta Espagueti	14.75	Pastas,Básicos	140
Sopa Instantánea	9.50	Instantáneos,Básicos	200
Galletas Marías	22.40	Galletas,Snacks	85
Papas Fritas 150g	19.90	Snacks,Botanas	70
Refresco Cola 2L	38.00	Bebidas,Refrescos	55
Agua Embotellada 1L	11.00	Bebidas	180
Café Soluble 200g	89.00	Bebidas,Desayuno	45
Shampoo 400ml	65.00	Higiene,Personal	30
Jabón de Barra	14.00	Higiene,Personal	160
