ISBN,NombreObra,Editorial,Año,Autor
9.78054E+12,El Hobbit,Allen & Unwin,1937,J.R.R. Tolkien
9.78062E+12,El Se�or de los Anillos,Allen & Unwin,1954,J.R.R. Tolkien
9.78055E+12,Juego de Tronos,Bantam Spectra,1996,George R.R. Martin
9.78055E+12,Choque de Reyes,Bantam Spectra,1998,George R.R. Martin
9.78044E+12,Un mago de Terramar,Parnassus Press,1968,Ursula K. Le Guin
9.78044E+12,Los despose�dos,Harper & Row,1974,Ursula K. Le Guin
9.78055E+12,Fundaci�n,Gnome Press,1951,Isaac Asimov
9.78055E+12,"Yo, Robot",Gnome Press,1950,Isaac Asimov
9.78044E+12,Dune,Chilton Books,1965,Frank Herbert
9.78044E+12,El Mes�as de Dune,Putnam,1969,Frank Herbert
9.78077E+12,El imperio final,Tor Books,2006,Brandon Sanderson
9.78077E+12,El pozo de la ascensi�n,Tor Books,2007,Brandon Sanderson
9.78035E+12,�Sue�an los androides con ovejas el�ctricas?,Doubleday,1968,Philip K. Dick
9.78055E+12,Ubik,Doubleday,1969,Philip K. Dick
9.78045E+12,2001: Una odisea del espacio,Hutchinson,1968,Arthur C. Clarke
9.78035E+12,Cita con Rama,Gollancz,1973,Arthur C. Clarke
9.78006E+12,American Gods,William Morrow,2001,Neil Gaiman
9.78006E+12,Buenos presagios,Workman,1990,Neil Gaiman
9.78039E+12,El cuento de la criada,McClelland & Stewart,1985,Margaret Atwood
9.78039E+12,Oryx y Crake,McClelland & Stewart,2003,Margaret Atwood
